,claw_length_cm,endangered,size_cm,specie,sub_specie,tail_length_cm,weight_kg
0,6.825,critically_endangered,52.004,three_toed,Pygmy three-toed sloth,4.448,3.57
1,8.26,critically_endangered,50.082,three_toed,Pygmy three-toed sloth,6.286,2.844
2,8.662,critically_endangered,51.498,three_toed,Pygmy three-toed sloth,4.551,1.259
3,8.467,critically_endangered,50.122,three_toed,Pygmy three-toed sloth,6.983,2.392
4,7.104,critically_endangered,51.364,three_toed,Pygmy three-toed sloth,5.411,3.163
5,7.268,critically_endangered,50.54,three_toed,Pygmy three-toed sloth,3.672,3.305
6,7.195,critically_endangered,49.662,three_toed,Pygmy three-toed sloth,4.179,2.854
7,7.455,critically_endangered,50.99,three_toed,Pygmy three-toed sloth,3.418,3.861
8,6.773,critically_endangered,48.389,three_toed,Pygmy three-toed sloth,6.601,4.492
9,8.16,critically_endangered,49.495,three_toed,Pygmy three-toed sloth,4.058,0.964
10,7.43,critically_endangered,49.652,three_toed,Pygmy three-toed sloth,4.446,2.551
11,7.31,critically_endangered,50.094,three_toed,Pygmy three-toed sloth,6.853,5.494
12,8.885,critically_endangered,49.511,three_toed,Pygmy three-toed sloth,6.179,3.066
13,7.041,critically_endangered,50.774,three_toed,Pygmy three-toed sloth,6.346,2.897
14,8.341,critically_endangered,49.116,three_toed,Pygmy three-toed sloth,5.527,2.444
15,8.372,critically_endangered,51.097,three_toed,Pygmy three-toed sloth,4.803,2.837
16,7.825,critically_endangered,51.339,three_toed,Pygmy three-toed sloth,4.516,3.732
17,6.261,critically_endangered,50.176,three_toed,Pygmy three-toed sloth,5.499,1.759
18,5.262,critically_endangered,49.417,three_toed,Pygmy three-toed sloth,5.13,1.417
19,8.271,critically_endangered,51.06,three_toed,Pygmy three-toed sloth,6.174,2.575
20,7.291,critically_endangered,50.201,three_toed,Pygmy three-toed sloth,6.148,3.39
21,7.734,critically_endangered,48.931,three_toed,Pygmy three-toed sloth,5.629,4.526
22,8.147,critically_endangered,50.052,three_toed,Pygmy three-toed sloth,5.087,1.976
23,8.447,critically_endangered,51.47,three_toed,Pygmy three-toed sloth,6.214,1.916
24,9.378,critically_endangered,50.913,three_toed,Pygmy three-toed sloth,6.37,4.569
25,7.144,critically_endangered,49.755,three_toed,Pygmy three-toed sloth,5.164,2.752
26,8.998,critically_endangered,50.374,three_toed,Pygmy three-toed sloth,5.086,2.919
27,8.647,critically_endangered,50.638,three_toed,Pygmy three-toed sloth,3.75,2.976
28,7.114,critically_endangered,50.213,three_toed,Pygmy three-toed sloth,5.428,2.329
29,6.663,critically_endangered,51.189,three_toed,Pygmy three-toed sloth,7.206,2.128
30,7.618,critically_endangered,48.803,three_toed,Pygmy three-toed sloth,5.526,2.495
31,7.845,critically_endangered,47.737,three_toed,Pygmy three-toed sloth,4.12,1.96
32,7.967,critically_endangered,50.587,three_toed,Pygmy three-toed sloth,7.134,1.383
33,6.981,critically_endangered,51.205,three_toed,Pygmy three-toed sloth,6.137,2.349
34,6.26,critically_endangered,49.816,three_toed,Pygmy three-toed sloth,6.376,2.717
35,7.569,critically_endangered,51.233,three_toed,Pygmy three-toed sloth,6.04,2.858
36,6.033,critically_endangered,49.401,three_toed,Pygmy three-toed sloth,6.049,2.842
37,8.829,critically_endangered,50.425,three_toed,Pygmy three-toed sloth,4.835,1.55
38,8.62,critically_endangered,50.771,three_toed,Pygmy three-toed sloth,4.727,4.363
39,7.102,critically_endangered,52.019,three_toed,Pygmy three-toed sloth,5.65,3.116
40,7.898,critically_endangered,49.059,three_toed,Pygmy three-toed sloth,4.292,3.13
41,7.587,critically_endangered,50.877,three_toed,Pygmy three-toed sloth,6.435,3.097
42,5.512,critically_endangered,50.352,three_toed,Pygmy three-toed sloth,5.65,3.525
43,7.865,critically_endangered,51.299,three_toed,Pygmy three-toed sloth,5.232,3.85
44,5.868,critically_endangered,49.0,three_toed,Pygmy three-toed sloth,6.386,1.407
45,7.059,critically_endangered,50.259,three_toed,Pygmy three-toed sloth,5.352,1.634
46,7.905,critically_endangered,50.576,three_toed,Pygmy three-toed sloth,4.807,2.636
47,8.534,critically_endangered,50.106,three_toed,Pygmy three-toed sloth,5.746,5.745
48,8.112,critically_endangered,49.317,three_toed,Pygmy three-toed sloth,5.457,2.664
49,7.221,critically_endangered,51.054,three_toed,Pygmy three-toed sloth,5.69,4.442
50,7.019,critically_endangered,49.829,three_toed,Pygmy three-toed sloth,6.777,1.965
51,7.229,critically_endangered,49.655,three_toed,Pygmy three-toed sloth,4.682,0.948
52,7.355,critically_endangered,49.968,three_toed,Pygmy three-toed sloth,6.478,1.333
53,6.559,critically_endangered,49.835,three_toed,Pygmy three-toed sloth,6.167,3.968
54,7.286,critically_endangered,48.72,three_toed,Pygmy three-toed sloth,5.38,5.7
55,7.313,critically_endangered,48.703,three_toed,Pygmy three-toed sloth,5.699,2.015
56,6.12,critically_endangered,50.694,three_toed,Pygmy three-toed sloth,6.026,3.438
57,8.465,critically_endangered,51.984,three_toed,Pygmy three-toed sloth,4.237,3.204
58,5.297,critically_endangered,49.46,three_toed,Pygmy three-toed sloth,5.747,3.091
59,8.171,critically_endangered,51.354,three_toed,Pygmy three-toed sloth,5.029,1.769
60,8.437,critically_endangered,50.565,three_toed,Pygmy three-toed sloth,5.246,2.678
61,8.859,critically_endangered,51.305,three_toed,Pygmy three-toed sloth,6.286,3.888
62,8.065,critically_endangered,51.681,three_toed,Pygmy three-toed sloth,3.646,3.233
63,7.489,critically_endangered,51.2,three_toed,Pygmy three-toed sloth,5.941,4.394
64,6.901,critically_endangered,48.936,three_toed,Pygmy three-toed sloth,5.849,1.863
65,7.255,critically_endangered,49.716,three_toed,Pygmy three-toed sloth,4.914,4.278
66,8.609,critically_endangered,51.726,three_toed,Pygmy three-toed sloth,6.883,1.188
67,9.072,critically_endangered,50.969,three_toed,Pygmy three-toed sloth,7.299,1.691
68,6.319,critically_endangered,49.303,three_toed,Pygmy three-toed sloth,4.1,1.794
69,8.051,critically_endangered,49.588,three_toed,Pygmy three-toed sloth,3.395,3.058
70,8.544,critically_endangered,52.075,three_toed,Pygmy three-toed sloth,4.812,2.573
71,7.021,critically_endangered,49.596,three_toed,Pygmy three-toed sloth,6.118,3.081
72,8.83,critically_endangered,50.115,three_toed,Pygmy three-toed sloth,6.198,4.153
73,5.746,vulnerable,65.815,three_toed,Maned three-toed sloth,5.069,4.175
74,9.977,vulnerable,63.677,three_toed,Maned three-toed sloth,5.464,4.976
75,8.857,vulnerable,64.526,three_toed,Maned three-toed sloth,6.742,5.847
76,8.941,vulnerable,63.789,three_toed,Maned three-toed sloth,5.25,7.087
77,7.825,vulnerable,63.747,three_toed,Maned three-toed sloth,5.422,4.951
78,7.016,vulnerable,66.549,three_toed,Maned three-toed sloth,3.458,6.009
79,6.075,vulnerable,62.638,three_toed,Maned three-toed sloth,3.914,7.218
80,8.178,vulnerable,63.911,three_toed,Maned three-toed sloth,4.035,5.913
81,6.514,vulnerable,64.194,three_toed,Maned three-toed sloth,5.8,6.635
82,7.306,vulnerable,61.993,three_toed,Maned three-toed sloth,4.181,4.051
83,4.947,vulnerable,63.264,three_toed,Maned three-toed sloth,3.379,6.891
84,7.925,vulnerable,62.745,three_toed,Maned three-toed sloth,5.687,4.664
85,6.789,vulnerable,63.175,three_toed,Maned three-toed sloth,5.129,4.799
86,7.139,vulnerable,64.098,three_toed,Maned three-toed sloth,3.992,6.427
87,7.098,vulnerable,61.599,three_toed,Maned three-toed sloth,5.114,5.93
88,6.801,vulnerable,63.303,three_toed,Maned three-toed sloth,2.107,5.101
89,7.99,vulnerable,63.415,three_toed,Maned three-toed sloth,3.887,4.246
90,8.055,vulnerable,62.183,three_toed,Maned three-toed sloth,4.548,4.784
91,7.213,vulnerable,62.6,three_toed,Maned three-toed sloth,5.874,7.646
92,8.192,vulnerable,63.249,three_toed,Maned three-toed sloth,5.283,5.963
93,8.5,vulnerable,62.524,three_toed,Maned three-toed sloth,5.003,5.21
94,4.628,vulnerable,61.865,three_toed,Maned three-toed sloth,2.616,3.752
95,8.598,vulnerable,63.073,three_toed,Maned three-toed sloth,4.241,6.086
96,6.629,vulnerable,63.003,three_toed,Maned three-toed sloth,5.885,4.529
97,10.012,vulnerable,63.308,three_toed,Maned three-toed sloth,4.028,4.44
98,7.919,vulnerable,63.978,three_toed,Maned three-toed sloth,5.069,6.986
99,8.543,vulnerable,61.204,three_toed,Maned three-toed sloth,5.642,6.157
100,6.928,vulnerable,64.074,three_toed,Maned three-toed sloth,4.99,4.545
101,8.1,vulnerable,62.491,three_toed,Maned three-toed sloth,5.675,6.826
102,7.637,vulnerable,65.444,three_toed,Maned three-toed sloth,5.307,5.37
